Country/Region	Lat	Long	Confirmed	Date	Active	Death	Recovered	New Confirmed	New Death	New Recovered	Fatality Rate
Afghanistan	33.0	65.0	444	2020-04-08	401	14	29	21	0	11	3.15
Albania	41.1533	20.1683	400	2020-04-08	224	22	154	17	0	23	5.5
Algeria	28.0339	1.6596	1572	2020-04-08	1130	205	237	104	12	124	13.04
Andorra	42.5063	1.5218	564	2020-04-08	489	23	52	19	1	13	4.08
Angola	-11.2027	17.8739	19	2020-04-08	15	2	2	2	0	0	10.53
Antigua and Barbuda	17.0608	-61.7964	19	2020-04-08	17	2	0	0	1	0	10.53
Argentina	-38.4161	-63.6167	1715	2020-04-08	1294	63	358	87	7	20	3.67
Armenia	40.0691	45.0382	881	2020-04-08	758	9	114	28	1	27	1.02
Australia	-35.4735	149.0124	6010	2020-04-08	4880	50	1080	115	5	0	0.83
Austria	47.5162	14.5501	12942	2020-04-08	8157	273	4512	303	30	466	2.11
Azerbaijan	40.1431	47.5769	822	2020-04-08	751	8	63	105	0	19	0.97
Bahamas	25.0343	-77.3963	40	2020-04-08	28	7	5	7	1	0	17.5
Bahrain	26.0275	50.55	823	2020-04-08	341	5	477	12	0	19	0.61
Bangladesh	23.685	90.3563	218	2020-04-08	165	20	33	54	3	0	9.17
Barbados	13.1939	-59.5432	63	2020-04-08	52	3	8	0	0	2	4.76
Belarus	53.7098	27.9534	1066	2020-04-08	976	13	77	205	0	23	1.22
Belgium	50.8333	4.0	23403	2020-04-08	16482	2240	4681	1209	205	524	9.57
Belize	13.1939	-59.5432	8	2020-04-08	7	1	0	1	0	0	12.5
Benin	9.3077	2.3158	26	2020-04-08	20	1	5	0	0	0	3.85
Bhutan	27.5142	90.4336	5	2020-04-08	3	0	2	0	0	0	0.0
Bolivia	-16.2902	-63.5887	210	2020-04-08	193	15	2	16	1	0	7.14
Bosnia and Herzegovina	43.9159	17.6791	804	2020-04-08	691	34	79	40	1	11	4.23
Botswana	-22.3285	24.6849	6	2020-04-08	5	1	0	0	0	0	16.67
Brazil	-14.235	-51.9253	16170	2020-04-08	15224	819	127	2136	133	0	5.06
Brunei	4.5353	114.7277	135	2020-04-08	43	1	91	0	0	6	0.74
Bulgaria	42.7339	25.4858	593	2020-04-08	527	24	42	16	1	0	4.05
Burkina Faso	12.2383	-1.5616	414	2020-04-08	257	23	134	30	4	7	5.56
Burma	21.9162	95.956	22	2020-04-08	19	3	0	0	2	0	13.64
Burundi	-3.3731	29.9189	3	2020-04-08	3	0	0	0	0	0	0.0
Cabo Verde	16.5388	-23.0418	7	2020-04-08	5	1	1	0	0	0	14.29
Cambodia	11.55	104.9167	117	2020-04-08	54	0	63	2	0	5	0.0
Cameroon	3.8480000000000003	11.5021	730	2020-04-08	660	10	60	72	1	17	1.37
Canada	56.1304	-106.3468	19141	2020-04-08	14580	407	4154	1269	32	363	2.13
Central African Republic	6.6111	20.9394	8	2020-04-08	8	0	0	0	0	0	0.0
Chad	15.4542	18.7322	10	2020-04-08	8	0	2	0	0	0	0.0
Chile	-35.6751	-71.543	5546	2020-04-08	4383	48	1115	430	5	217	0.87
China	31.8257	117.2264	82809	2020-04-08	1905	3337	77567	91	2	157	4.03
Colombia	4.5709	-74.2973	2054	2020-04-08	1877	54	123	274	4	23	2.63
Congo (Brazzaville)	-4.0383	21.7587	45	2020-04-08	38	5	2	0	0	0	11.11
Congo (Kinshasa)	-4.0383	21.7587	180	2020-04-08	153	18	9	0	0	0	10.0
Costa Rica	9.7489	-83.7534	502	2020-04-08	470	3	29	19	1	5	0.6
Cote d'Ivoire	7.54	-5.5471	384	2020-04-08	333	3	48	35	0	7	0.78
Croatia	45.1	15.2	1343	2020-04-08	1145	19	179	61	1	12	1.41
Cuba	22.0	-80.0	457	2020-04-08	418	12	27	61	1	0	2.63
Cyprus	35.1264	33.4299	526	2020-04-08	465	9	52	32	0	5	1.71
Czechia	49.8175	15.472999999999999	5312	2020-04-08	4980	99	233	295	11	61	1.86
Denmark	56.2639	9.5018	5597	2020-04-08	3616	218	1763	331	15	142	3.89
Diamond Princess	0.0	0.0	712	2020-04-08	82	11	619	0	0	0	1.54
Djibouti	11.8251	42.5903	135	2020-04-08	110	0	25	45	0	16	0.0
Dominica	15.415	-61.371	15	2020-04-08	14	0	1	0	0	0	0.0
Dominican Republic	18.7357	-70.1627	2111	2020-04-08	1953	108	50	155	10	14	5.12
Ecuador	-1.8312	-78.1834	4450	2020-04-08	4068	242	140	703	51	40	5.44
Egypt	26.0	30.0	1560	2020-04-08	1152	103	305	110	9	29	6.6
El Salvador	13.7942	-88.8965	93	2020-04-08	79	5	9	15	1	4	5.38
Equatorial Guinea	1.5	10.0	18	2020-04-08	15	0	3	2	0	0	0.0
Eritrea	15.1794	39.7823	33	2020-04-08	33	0	0	2	0	0	0.0
Estonia	58.5953	25.0136	1185	2020-04-08	1089	24	72	36	3	3	2.03
Eswatini	-26.5225	31.4659	12	2020-04-08	5	0	7	2	0	3	0.0
Ethiopia	9.145	40.4897	55	2020-04-08	49	2	4	3	0	0	3.64
Fiji	-17.7134	178.065	15	2020-04-08	15	0	0	0	0	0	0.0
Finland	64.0	26.0	2487	2020-04-08	2147	40	300	179	6	0	1.61
France	46.2276	2.2137	113959	2020-04-08	81620	10887	21452	3894	544	1929	9.55
Gabon	-0.8037	11.6094	34	2020-04-08	32	1	1	4	0	0	2.94
Gambia	13.4432	-15.3101	4	2020-04-08	1	1	2	0	0	0	25.0
Georgia	42.3154	43.3569	211	2020-04-08	158	3	50	15	0	4	1.42
Germany	51.0	9.0	113296	2020-04-08	64647	2349	46300	5633	333	10219	2.07
Ghana	7.9465	-1.0232	313	2020-04-08	273	6	34	26	1	3	1.92
Greece	39.0742	21.8243	1884	2020-04-08	1532	83	269	52	2	0	4.41
Grenada	12.1165	-61.678999999999995	12	2020-04-08	12	0	0	0	0	0	0.0
Guatemala	15.7835	-90.2308	87	2020-04-08	67	3	17	10	0	0	3.45
Guinea	9.9456	-9.6966	164	2020-04-08	159	0	5	20	0	0	0.0
Guinea-Bissau	11.8037	-15.1804	33	2020-04-08	33	0	0	0	0	0	0.0
Guyana	5.0	-58.75	37	2020-04-08	23	6	8	4	1	0	16.22
Haiti	18.9712	-72.2852	27	2020-04-08	26	1	0	2	0	0	3.7
Holy See	41.9029	12.4534	8	2020-04-08	6	0	2	1	0	2	0.0
Honduras	15.2	-86.2419	312	2020-04-08	284	22	6	7	0	0	7.05
Hungary	47.1625	19.5033	895	2020-04-08	743	58	94	78	11	23	6.48
Iceland	64.9631	-19.0208	1616	2020-04-08	977	6	633	30	0	74	0.37
India	21.0	78.0	5916	2020-04-08	5232	178	506	605	28	85	3.01
Indonesia	-0.7893	113.9213	2956	2020-04-08	2494	240	222	218	19	18	8.12
Iran	32.0	53.0	64586	2020-04-08	30781	3993	29812	1997	121	2773	6.18
Iraq	33.0	44.0	1202	2020-04-08	681	69	452	80	4	79	5.74
Ireland	53.1424	-7.6921	6074	2020-04-08	5814	235	25	365	25	0	3.87
Israel	31.0	35.0	9404	2020-04-08	8530	73	801	156	8	31	0.78
Italy	43.0	12.0	139422	2020-04-08	95262	17669	26491	3836	542	2099	12.67
Jamaica	18.1096	-77.2975	63	2020-04-08	49	4	10	0	1	2	6.35
